date,closedPnL,volume,classification,value,leverage,leverage_delta,pnl_next,sentiment_flag
2024-04-03,126.7884,16887.57,Greed,71.0,0.0003020222759503393,-0.003984234363726231,0.0,1.0
2024-04-04,0.0,95987.73,Greed,70.0,0.0017166820501991601,0.0014146597742488208,10706.484306,1.0
2024-04-05,10706.484306,503791.8,Extreme Greed,79.0,0.009010017659178337,0.007293335608979178,236.33513399999998,1.0
2024-04-06,236.33513399999998,68223.67,Extreme Greed,75.0,0.001220138189202789,-0.0077898794699755485,0.0,1.0
2024-04-07,0.0,49988.14,Extreme Greed,78.0,0.0008940064752706352,-0.00032613171393215386,1218.4267,1.0
2024-04-08,1218.4267,211940.64,Extreme Greed,76.0,0.003790431553159633,0.002896425077888998,0.0,1.0
2024-04-09,0.0,57063.840000000004,Extreme Greed,80.0,0.0010205512024197634,-0.0027698803507398696,5207.443414,1.0
2024-04-10,5207.443414,351735.97,Extreme Greed,78.0,0.006290588695431398,0.005270037493011635,389.743164,1.0
2024-04-11,389.743164,76400.96,Extreme Greed,76.0,0.001366384204702216,-0.004924204490729182,-592.6458390000001,1.0
2024-04-12,-592.6458390000001,442088.59,Extreme Greed,79.0,0.00790649208945727,0.006540107884755055,6621.451755,1.0
2024-04-13,6621.451755,486411.25,Greed,72.0,0.008699176758991532,0.0007926846695342615,-36104.012520000004,1.0
2024-04-14,-36104.012520000004,659162.17,Greed,72.0,0.01178872521867197,0.003089548459680437,3774.08872,1.0
2024-04-15,3774.08872,291111.19,Greed,74.0,0.005206350211101096,-0.006582375007570873,2467.702221,1.0
2024-04-16,2467.702221,181907.17,Greed,65.0,0.0032533006309199215,-0.0019530495801811745,2441.4683999999997,1.0
2024-04-17,2441.4683999999997,97562.99,Greed,67.0,0.0017448546475236561,-0.0015084459833962654,1946.4454620000001,1.0
2024-04-19,1946.4454620000001,337257.92000000004,Greed,66.0,0.006031657298269078,0.004286802650745422,0.0,1.0
2024-04-20,0.0,60733.24,Greed,66.0,0.001086176260265773,-0.004945481038003305,0.0,1.0
2024-04-22,0.0,47993.61,Greed,73.0,0.0008583354809321598,-0.00022784077933361326,1119.536196,1.0
2024-04-23,1119.536196,233054.9,Greed,71.0,0.004168047657666007,0.0033097121767338474,279.185907,1.0
2024-04-24,279.185907,141275.24,Greed,72.0,0.002526622493719012,-0.001641425163946995,0.0,1.0
2024-04-25,0.0,120241.01,Greed,72.0,0.0021504376786276418,-0.00037618481509137016,0.0,1.0
2024-04-26,0.0,4988.290000000001,Greed,70.0,8.921066142865557e-05,-0.0020612270171989863,4281.488139,1.0
2024-04-27,4281.488139,154264.47,Greed,67.0,0.0027589272220465656,0.00266971656061791,0.0,1.0
2024-04-28,0.0,43985.6,Greed,65.0,0.0007866545826661257,-0.00197227263938044,526.9338359999999,1.0
2024-04-29,526.9338359999999,108699.01,Greed,67.0,0.001944015806479976,0.0011573612238138502,0.0,1.0
2024-04-30,0.0,125018.75,Greed,67.0,0.0022358847445984255,0.0002918689381184495,0.0,1.0
2024-05-01,0.0,87025.45,Neutral,54.0,0.0015563969508826136,-0.0006794877937158119,5306.017045,0.0
2024-05-03,5306.017045,282682.64999999997,Neutral,48.0,0.005055610737329523,0.0034992137864469095,0.0,0.0
2024-05-04,0.0,58998.75,Greed,67.0,0.0010551559281724266,-0.004000454809157097,0.916,1.0
2024-05-05,0.916,24068.350000000002,Greed,69.0,0.0004304462970108587,-0.0006247096311615679,968.59038,1.0
2024-05-06,968.59038,206016.43,Greed,71.0,0.0036844805464713707,0.003254034249460512,883.537693,1.0
2024-05-07,883.537693,108717.58,Greed,68.0,0.0019443479199928667,-0.001740132626478504,1.56576,1.0
2024-05-08,1.56576,65973.57,Greed,64.0,0.0011798964759365041,-0.0007644514440563626,1147.595856,1.0
2024-05-09,1147.595856,221966.12,Greed,55.0,0.003969731358286905,0.002789834882350401,2101.741695,1.0
2024-05-10,2101.741695,156882.0,Greed,66.0,0.002805740204458858,-0.0011639911538280472,251.604742,1.0
2024-05-11,251.604742,63248.95,Neutral,53.0,0.0011311682519466431,-0.0016745719525122149,0.0,0.0
2024-05-12,0.0,55179.56,Greed,56.0,0.0009868519643977218,-0.00014431628754892132,2136.853859,1.0
2024-05-13,2136.853859,193118.9,Greed,57.0,0.003453815818635581,0.0024669638542378592,1150.5233050000002,1.0
2024-05-14,1150.5233050000002,145853.4,Greed,66.0,0.002608500188935747,-0.0008453156296998341,948.970582,1.0
2024-05-15,948.970582,234922.57,Greed,64.0,0.004201449835620784,0.0015929496466850369,214.5898,1.0
2024-05-16,214.5898,162620.96,Greed,70.0,0.0029083781240031798,-0.001293071711617604,3522.3946610000003,1.0
2024-05-18,3522.3946610000003,126303.14,Greed,73.0,0.0022588553032856324,-0.0006495228207175473,0.0,1.0
2024-05-19,0.0,29998.09,Greed,72.0,0.0005364962044921356,-0.001722359098793497,-74.818442,1.0
2024-05-20,-74.818442,38124.75,Greed,70.0,0.0006818367322609406,0.000145340527768805,7289.397571999999,1.0
